"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2025","108,945.5","108,818.1","109,898.5","107,274.7","81.54K","0.12%"
"08/24/2025","108,818.1","115,431.5","115,663.3","107,433.4","401.65K","-5.73%"
"08/17/2025","115,433.3","117,393.8","118,559.4","111,698.5","352.92K","-1.69%"
"08/10/2025","117,413.4","116,468.4","124,436.8","116,468.4","417.72K","0.81%"
"08/03/2025","116,471.6","112,547.9","117,893.0","111,992.4","261.56K","3.49%"
"07/27/2025","112,547.7","117,918.3","119,788.2","112,015.5","369.36K","-4.55%"
"07/20/2025","117,917.6","117,848.4","120,253.1","114,843.5","432.84K","0.06%"
"07/13/2025","117,848.4","117,422.4","123,104.7","115,774.0","443.88K","0.37%"
"07/06/2025","117,419.5","108,204.7","118,848.4","107,474.2","350.15K","8.52%"
"06/29/2025","108,204.7","107,304.3","110,506.8","105,163.5","267.45K","0.84%"
"06/22/2025","107,304.4","102,114.5","108,261.2","98,249.2","374.67K","5.08%"
"06/15/2025","102,113.2","105,421.6","108,899.3","100,947.8","300.97K","-3.14%"
"06/08/2025","105,421.5","105,564.2","110,404.9","102,739.6","361.17K","-0.14%"
"06/01/2025","105,564.2","104,598.0","106,758.4","100,421.1","346.87K","0.92%"
"05/25/2025","104,598.0","107,763.0","110,718.7","103,091.3","395.16K","-2.94%"
"05/18/2025","107,763.0","103,113.9","111,953.6","102,088.2","589.40K","4.51%"
"05/11/2025","103,112.6","104,748.3","105,765.2","100,766.8","422.84K","-1.61%"
"05/04/2025","104,798.0","95,885.5","104,969.8","93,408.8","462.61K","9.29%"
"04/27/2025","95,885.8","94,631.4","97,881.8","92,818.9","389.99K","1.33%"
"04/20/2025","94,631.4","85,075.5","95,718.6","83,976.1","543.58K","11.24%"
"04/13/2025","85,068.1","85,282.5","86,438.8","83,049.6","382.54K","-0.26%"
"04/06/2025","85,292.7","83,528.0","85,893.5","74,524.2","758.85K","2.08%"
"03/30/2025","83,552.1","82,646.8","88,377.3","81,300.1","475.30K","1.10%"
"03/23/2025","82,645.7","83,840.2","88,740.2","81,668.2","445.19K","-1.43%"
"03/16/2025","83,840.5","84,341.3","87,419.0","81,171.3","384.35K","-0.59%"
"03/09/2025","84,341.3","86,221.5","86,498.6","76,677.1","601.20K","-2.18%"
"03/02/2025","86,221.9","86,065.7","94,986.5","81,617.0","767.22K","0.17%"
"02/23/2025","86,071.6","96,556.2","96,655.2","78,329.8","858.44K","-10.86%"
"02/16/2025","96,556.1","97,573.1","99,473.4","93,403.4","435.85K","-1.04%"
"02/09/2025","97,573.4","96,448.4","98,817.3","94,110.7","472.80K","1.17%"
"02/02/2025","96,447.9","100,647.1","102,372.2","91,695.8","759.78K","-4.17%"
"01/26/2025","100,648.0","104,743.8","106,409.1","97,987.5","566.28K","-3.91%"
"01/19/2025","104,742.9","104,536.8","109,228.6","99,676.0","840.03K","10.80%"
"01/12/2025","94,536.1","94,600.0","95,928.1","89,423.1","55.30K","-0.08%"
"01/05/2025","94,612.0","98,220.1","102,678.2","91,241.9","695.32K","-3.67%"
"12/29/2024","98,219.9","95,282.6","98,963.3","91,522.3","476.14K","3.08%"
"12/22/2024","95,284.5","97,281.6","99,922.5","92,543.2","584.64K","-2.02%"
"12/15/2024","97,253.3","101,417.9","108,244.9","92,301.9","1.34M","-4.11%"
"12/08/2024","101,417.7","99,837.0","102,633.0","94,304.5","1.49M","1.58%"
"12/01/2024","99,837.0","96,404.7","103,719.4","92,510.4","1.02M","3.56%"
"11/24/2024","96,405.7","97,696.4","98,872.4","90,817.2","659.36K","-1.32%"
"11/17/2024","97,699.0","90,569.4","99,617.4","88,736.1","938.17K","7.91%"
"11/10/2024","90,539.1","76,681.4","93,226.6","76,520.5","1.46M","18.04%"
"11/03/2024","76,700.3","69,334.8","77,188.5","66,834.0","1.14M","10.64%"
"10/27/2024","69,325.8","67,084.7","73,569.4","66,924.6","769.03K","3.34%"
"10/20/2024","67,086.8","68,373.3","69,490.8","65,246.7","630.37K","-1.88%"
"10/13/2024","68,372.0","63,205.4","68,990.3","62,054.2","674.99K","8.17%"
"10/06/2024","63,205.1","62,062.0","64,449.3","59,075.7","505.23K","1.84%"
"09/29/2024","62,061.4","65,862.8","66,065.7","59,904.4","591.90K","-5.78%"
"09/22/2024","65,866.5","63,351.2","66,440.7","62,394.6","517.48K","3.98%"
"09/15/2024","63,348.1","59,995.6","64,085.1","57,527.8","642.91K","5.59%"
"09/08/2024","59,995.4","54,161.4","60,625.4","53,642.4","637.99K","10.78%"
"09/01/2024","54,156.5","58,975.7","59,799.7","52,644.6","718.72K","-8.18%"
