"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025","4,405.21","4,392.75","4,491.06","4,362.18","453.07K","0.32%"
"08/31/2025","4,391.11","4,373.73","4,497.74","4,373.73","380.84K","0.40%"
"08/30/2025","4,373.64","4,360.12","4,413.29","4,260.87","364.72K","0.33%"
"08/29/2025","4,359.20","4,511.55","4,513.67","4,268.98","750.83K","-3.42%"
"08/28/2025","4,513.55","4,505.94","4,632.15","4,438.68","529.90K","0.17%"
"08/27/2025","4,506.05","4,596.53","4,662.09","4,488.02","660.38K","-2.06%"
"08/26/2025","4,600.77","4,376.34","4,631.31","4,320.12","899.03K","5.17%"
"08/25/2025","4,374.73","4,780.14","4,796.61","4,337.83","1.12M","-8.48%"
"08/24/2025","4,779.86","4,778.43","4,955.90","4,717.60","845.37K","0.03%"
"08/23/2025","4,778.43","4,831.22","4,831.22","4,663.42","549.58K","-1.09%"
"08/22/2025","4,831.21","4,225.28","4,886.62","4,209.40","1.38M","14.36%"
"08/21/2025","4,224.52","4,336.16","4,339.33","4,205.98","481.10K","-2.56%"
"08/20/2025","4,335.37","4,075.81","4,375.03","4,069.39","775.52K","6.37%"
"08/19/2025","4,075.57","4,313.46","4,353.58","4,067.90","886.22K","-5.47%"
"08/18/2025","4,311.42","4,472.43","4,480.05","4,227.41","886.81K","-3.60%"
"08/17/2025","4,472.21","4,421.48","4,574.39","4,395.64","471.90K","1.12%"
"08/16/2025","4,422.56","4,439.55","4,489.73","4,375.78","382.87K","-0.39%"
"08/15/2025","4,440.05","4,548.30","4,665.69","4,374.40","940.29K","-2.36%"
"08/14/2025","4,547.35","4,748.71","4,787.25","4,457.23","1.37M","-4.22%"
"08/13/2025","4,747.87","4,585.82","4,782.21","4,566.19","1.01M","3.42%"
"08/12/2025","4,590.71","4,223.41","4,633.48","4,223.41","972.25K","8.70%"
"08/11/2025","4,223.42","4,250.51","4,361.60","4,168.10","791.47K","-0.63%"
"08/10/2025","4,250.18","4,260.74","4,330.30","4,163.41","534.67K","-0.25%"
"08/09/2025","4,260.74","4,010.46","4,323.72","4,007.19","759.17K","6.28%"
"08/08/2025","4,008.96","3,900.74","4,062.74","3,880.25","809.06K","2.53%"
"08/07/2025","3,909.96","3,681.64","3,925.12","3,649.75","688.92K","6.15%"
"08/06/2025","3,683.36","3,609.32","3,697.70","3,565.08","401.22K","1.98%"
"08/05/2025","3,611.69","3,718.66","3,719.30","3,548.52","528.41K","-2.93%"
"08/04/2025","3,720.89","3,499.23","3,734.29","3,491.16","514.08K","6.42%"
"08/03/2025","3,496.26","3,403.62","3,521.19","3,358.01","326.76K","3.02%"
"08/02/2025","3,393.92","3,495.06","3,537.10","3,374.76","546.44K","-2.71%"
"08/01/2025","3,488.36","3,695.36","3,724.02","3,433.97","871.70K","-5.68%"
