"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2025","4.290","5.150","5.267","4.200","9.70M","-17.74%"
"08/17/2025","5.215","6.900","7.114","4.840","14.32M","-23.53%"
"08/10/2025","6.820","7.000","8.090","6.430","11.89M","-2.15%"
"08/03/2025","6.970","7.830","7.993","6.440","10.23M","-7.93%"
"07/27/2025","7.570","9.990","12.000","7.560","24.53M","-21.15%"
"07/20/2025","9.600","10.100","11.110","8.300","16.14M","-4.95%"
"07/13/2025","10.100","6.400","12.800","6.200","56.17M","55.86%"
"07/06/2025","6.480","7.810","8.580","6.020","16.04M","-20.98%"
"06/29/2025","8.200","8.200","8.850","6.422","16.94M","6.77%"
"06/22/2025","7.680","9.655","12.130","7.200","50.29M","-30.43%"
"06/15/2025","11.040","5.520","12.800","4.300","343.29M","661.38%"
"06/08/2025","1.450","0.810","1.480","0.780","6.94M","79.23%"
"06/01/2025","0.809","0.562","0.810","0.540","3.24M","40.70%"
"05/25/2025","0.575","0.590","0.649","0.551","1.42M","-8.00%"
"05/18/2025","0.625","0.454","0.660","0.410","4.26M","43.94%"
"05/11/2025","0.434","0.407","0.458","0.400","1.64M","3.73%"
"05/04/2025","0.419","0.400","0.460","0.393","1.92M","4.39%"
"04/27/2025","0.401","0.380","0.430","0.361","1.64M","1.42%"
"04/20/2025","0.395","0.345","0.520","0.282","5.81M","20.55%"
"04/13/2025","0.328","0.303","0.377","0.280","974.67K","8.25%"
"04/06/2025","0.303","0.310","0.370","0.270","1.17M","0.20%"
"03/30/2025","0.302","0.444","0.444","0.261","1.34M","-33.25%"
"03/23/2025","0.453","0.411","0.492","0.401","915.16K","3.66%"
"03/16/2025","0.437","0.400","0.440","0.370","1.02M","10.91%"
"03/09/2025","0.394","0.370","0.460","0.360","1.75M","4.23%"
"03/02/2025","0.378","0.372","0.440","0.331","3.87M","-7.03%"
"02/23/2025","0.407","0.776","0.790","0.375","9.83M","-48.69%"
"02/16/2025","0.792","0.886","1.090","0.720","93.15M","13.20%"
"02/09/2025","0.700","0.300","0.851","0.300","254.94M","121.73%"
"02/02/2025","0.316","0.351","0.355","0.308","674.37K","-10.36%"
"01/26/2025","0.352","0.422","0.450","0.333","1.23M","-19.13%"
"01/19/2025","0.435","0.455","0.500","0.431","1.47M","-3.22%"
"01/12/2025","0.450","0.540","0.554","0.406","2.30M","-20.06%"
"01/05/2025","0.563","0.670","0.840","0.556","15.29M","-13.93%"
"12/29/2024","0.654","0.610","0.730","0.594","3.06M","6.34%"
"12/22/2024","0.615","0.583","0.680","0.583","1.25M","4.24%"
"12/15/2024","0.590","0.728","0.728","0.590","1.98M","-16.90%"
"12/08/2024","0.710","0.710","0.880","0.681","5.15M","-2.16%"
"12/01/2024","0.726","0.626","1.660","0.600","152.65M","13.37%"
"11/24/2024","0.640","0.780","0.810","0.600","1.83M","-5.59%"
"11/17/2024","0.678","0.620","0.720","0.553","736.85K","10.32%"
"11/10/2024","0.615","0.631","0.650","0.551","466.95K","-5.45%"
"11/03/2024","0.650","0.920","0.970","0.582","4.04M","-22.62%"
"10/27/2024","0.840","0.761","0.869","0.650","2.13M","11.60%"
"10/20/2024","0.753","0.720","1.120","0.680","26.93M","5.91%"
"10/13/2024","0.711","0.738","0.749","0.640","326.01K","0.10%"
"10/06/2024","0.710","0.700","0.840","0.700","407.10K","-0.14%"
"09/29/2024","0.711","0.710","0.770","0.700","108.39K","-1.66%"
"09/22/2024","0.723","0.712","0.800","0.700","400.11K","1.54%"
"09/15/2024","0.712","0.680","0.812","0.680","283.98K","2.62%"
"09/08/2024","0.694","0.930","0.978","0.613","711.10K","-31.31%"
"09/01/2024","1.010","0.759","1.250","0.710","3.18M","32.57%"
